Equipo,id_equipo
Arenal Emevé,1
Cisneros Alter,2
Voley Palma,3
Manacor,4
Guaguas,5
CV Melilla,6
San Roque - Batán,7
Rio Duero Soria,8
CV Teruel,9
Unicaja Almería,10
Conqueridor Valencia,11
Santo Domingo VB Petrer,12
Barça Voleibol,13
Rotogal Boiro,14
Voley Textil Santanderina,15
