,Dorsal,Nombre,Posición,Año_de_nacimiento,id_jugador,id_equipo,Edad
97,6,Flores Fabian Emanuel,Middle-blocker,1991,98,8,32
98,7,Olalla Gómez Adrián,Receptor,2001,99,8,22
99,8,Belda de Vial Luke,Receptor,2003,100,8,20
100,9,Villalba Zamorano José,Receptor,2000,101,8,23
101,10,San Martín Rodríguez Alejandro,Líbero,1994,102,8,29
102,11,Sanchis Ignasi,Colocador/a,2002,103,8,21
103,13,Jiménez Abeytua Rodrigo,Líbero,2005,104,8,18
104,14,Aulisi Santiago Karim,Receptor,1996,105,8,27
105,16,Santos Cunha Bruno,Opuesto,1997,106,8,26
106,20,Domenech Tous Joan,Middle-blocker,2001,107,8,22
107,21,Tenorio Capeloci Davi,Middle-blocker,2005,108,8,18
108,-,Aparicio Conejos Moisés,-,2007,109,9,16
109,-,Aranda Gallardo Diego,-,2008,110,9,15
110,-,Cote Cárdenas Mario,-,2006,111,9,17
111,-,Hernández Sánchez Pedro,-,2006,112,9,17
112,-,Martín Torres Ramón,-,2007,113,9,16
113,-,Montero López Álvaro,-,2006,114,9,17
114,-,Pinazo Calomarde José,-,2006,115,9,17
115,1,Lorente Camacho Rubén,Colocador/a,1998,116,9,25
116,5,Méndez Jiménez Víctor,Middle-blocker,1997,117,9,26
117,7,Martínez Palacios Miguel Ángel,Opuesto,2003,118,9,20
118,8,Ferrández Moles Emilio,Receptor,2001,119,9,22
119,9,Téllez Rodríguez Axel,Middle-blocker,1999,120,9,24
120,10,Zelayeta Mauro Rafael,Receptor,2000,121,9,23
121,11,Pont Perello Guillem,Colocador/a,2002,122,9,21
122,16,Valiño Sanz Isaac,Receptor,1999,123,9,24
123,17,Igual Rabanete Javier,Opuesto,2002,124,9,21
124,18,Gámiz Padilla Aharón,Líbero,1988,125,9,35
125,20,Vildosola Mariano,Receptor,1991,126,9,32
126,22,Fresquet Barceló Xavier,Middle-blocker,2003,127,9,20
127,1,Carreño Millón Marco,Receptor,2004,128,10,19
128,2,Viera Iglesias Álvaro,Opuesto,2003,129,10,20
129,3,Rodríguez Pérez Víctor,Receptor,1998,130,10,25
130,4,Moya Berenguel Alejandro,Líbero,2004,131,10,19
131,5,Fernández Martínez Francisco José,Líbero,1995,132,10,28
132,7,Bertassoni Paulo Renan,Colocador/a,1985,133,10,38
133,8,Fernández Jorge,Middle-blocker,1989,134,10,34
134,9,Neaves Matthew Michael,Opuesto,2000,135,10,23
135,10,Ruiz Garrido Francisco José,Receptor,1991,136,10,32
136,11,Fernández López Fernando,Middle-blocker,1997,137,10,26
137,12,Vizcaino Gallardo Javier,Colocador/a,2003,138,10,20
138,14,Ruiz Mira Borja,Middle-blocker,1992,139,10,31
139,1,Nieves Suárez Carlos,Receptor,2004,140,11,19
140,2,Grossi Anderson,Middle-blocker,1994,141,11,29
141,3,Funes Facundo Jesús,Receptor,1994,142,11,29
142,4,Monfort Minaya Javier,Receptor,1990,143,11,33
143,5,Allen Serrano Luis Vidal,Middle-blocker,2001,144,11,22
144,7,Mengod Bautista Fernando,Receptor,1993,145,11,30
145,10,Huerta Fabregat José Ignacio,Colocador/a,1998,146,11,25
146,12,Monfort Minaya Vicente,Colocador/a,1988,147,11,35
147,14,Pérez Lledó Pablo,Opuesto,2004,148,11,19
148,15,Dangel Mulen Armando,Opuesto,1989,149,11,34
149,18,Iborra Ballester Héctor,Líbero,2003,150,11,20
150,20,Postemsky Ivan,Middle-blocker,1992,151,11,31
151,21,Mengod Bautista Javier,Líbero,1996,152,11,27
152,22,Rabell Trullenque Carlos,Middle-blocker,2022,153,11,1
153,1,Da Cruz Neto Walter,Middle-blocker,1989,154,12,34
154,2,Lynard Oskar,Middle-blocker,1999,155,12,24
155,4,García Borrás Héctor,Colocador/a,1998,156,12,25
156,5,Grau Canto Joaquín José,Líbero,2004,157,12,19
157,7,Amorós Martín Arel,Middle-blocker,2007,158,12,16
158,9,Quesada Gómez Justo,Receptor,2007,159,12,16
159,10,Piqueres Flor Nestor,Líbero,1995,160,12,28
160,11,Piqueres Flor Eder,Colocador/a,1995,161,12,28
161,13,Pla Sánchez Alfredo,Receptor,2002,162,12,21
162,14,Osorio Recordá Gerard,Opuesto,1993,163,12,30
163,15,Marí Domene Álvaro,Middle-blocker,2002,164,12,21
164,17,Martínez Gómez Sergio,Opuesto,2002,165,12,21
165,20,Hernández Robeff Tomás Agustín,Receptor,1998,166,12,25
166,23,Jiménez Gallego Carlos,Receptor,1995,167,12,28
167,77,Fernández Rodríguez Francisco,Receptor,1996,168,12,27
