Nombre,Partidos_jugados,Sets_jugados,Acciones_exitosas,Errores_colocador,_error_colocador,Puntos_negativos,Puntos_positivos,Acciones_positivas,Total_acumulado,Efic_Ranking,id_jugador,id_equipo,temporada
Pei-Hung Huang,7,16,79,0,8,15,29,6,137,0.4234,95-2019-2020,7-2019-2020,2019-2020
Jukoski Da Silva Pedro H.,18,54,287,3,16,72,45,33,456,0.3991,16-2019-2020,2-2019-2020,2019-2020
Perini de Aviz Ricardo,16,55,329,0,48,67,110,37,591,0.3807,98-2019-2020,8-2019-2020,2019-2020
Soteldo Francisco Jose,16,56,275,1,45,59,62,37,479,0.3737,154-2019-2020,12-2019-2020,2019-2020
Martin Perez Cesar,17,54,149,0,11,47,27,18,252,0.3333,18-2019-2020,2-2019-2020,2019-2020
Putini Filho Pedro Luiz,16,48,204,12,37,58,35,27,373,0.319,111-2019-2020,9-2019-2020,2019-2020
Ramirez Chueca Sergio,16,46,155,1,13,58,19,17,263,0.3042,109-2019-2020,9-2019-2020,2019-2020
Ocampo Ulloa Matias,14,27,44,0,6,16,13,4,83,0.2892,134-2019-2020,10-2019-2020,2019-2020
De Mello Hernandez Felipe,20,78,474,0,86,157,101,76,894,0.2696,4-2019-2020,1-2019-2020,2019-2020
Sanchez Ignacio,16,52,261,0,35,96,42,38,472,0.2691,91-2019-2020,7-2019-2020,2019-2020
Lorente Camacho Ruben,20,80,445,4,85,152,111,72,869,0.2543,30-2019-2020,3-2019-2020,2019-2020
Sanchez Carreres Javier,19,73,323,0,56,117,73,50,619,0.252,128-2019-2020,10-2019-2020,2019-2020
Kamenov Jivkov Zdravko,20,77,347,6,72,130,99,48,702,0.2407,151-2019-2020,11-2019-2020,2019-2020
Villarreal Soltau Esteban Alberto,15,57,340,0,57,122,82,65,666,0.2297,58-2019-2020,5-2019-2020,2019-2020
Egusquiza Perez-Rasilla Miguel Angel,3,6,9,0,5,0,10,3,27,0.2222,167-2019-2020,12-2019-2020,2019-2020
Jovanovic Milan,15,46,111,0,26,30,52,29,248,0.2097,156-2019-2020,12-2019-2020,2019-2020
Perez Jaime,7,15,50,3,14,17,10,11,105,0.2095,63-2019-2020,5-2019-2020,2019-2020
Campelo Nogueira Gustavo,20,67,294,1,52,132,51,46,576,0.2014,45-2019-2020,4-2019-2020,2019-2020
Loeches Buitrago Guillermo,20,65,289,1,43,144,80,36,593,0.1838,78-2019-2020,6-2019-2020,2019-2020
Ferrandez Roca Francisco,8,25,33,0,8,20,11,4,76,0.1184,145-2019-2020,11-2019-2020,2019-2020
Herrera Allepuz Daniel,18,44,128,2,18,79,28,17,272,0.1176,77-2019-2020,6-2019-2020,2019-2020
