Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador,id_equipo,temporada
Jimenez Gallego Carlos,20,67,31,10,0,54,15,41,11,221,207,22,31,425,2.2239,103-2019-2020,8-2019-2020,2019-2020
Monfort Minaya Javier,20,78,23,20,0,48,30,70,20,315,264,51,32,576,1.8462,131-2019-2020,10-2019-2020,2019-2020
Monfort Minaya Javier,20,78,23,20,0,48,30,70,20,315,264,51,32,576,1.8462,139-2019-2020,11-2019-2020,2019-2020
Ereu Thomas,15,51,11,6,0,20,9,29,9,185,141,24,12,283,1.7647,27-2019-2020,2-2019-2020,2019-2020
Bouza Ferreiro Victor,20,78,18,2,2,28,18,34,14,293,250,47,69,590,1.6923,3-2019-2020,1-2019-2020,2019-2020
Rodriguez Perez Victor,19,62,28,9,1,43,15,41,11,189,156,29,15,290,1.6774,15-2019-2020,2-2019-2020,2019-2020
Cairus Renzo,20,72,14,7,0,31,6,28,13,269,176,27,21,363,1.5694,105-2019-2020,8-2019-2020,2019-2020
Munoz Garrote Raul,8,27,6,8,0,17,19,30,11,128,94,22,17,201,1.5556,121-2019-2020,9-2019-2020,2019-2020
Hister Marcelo,19,73,18,5,0,30,8,20,13,257,189,36,42,437,1.5342,136-2019-2020,10-2019-2020,2019-2020
Hage Guillerme,20,65,39,43,5,106,19,55,12,196,198,29,31,372,1.4308,85-2019-2020,7-2019-2020,2019-2020
Ewert Jordan Matthew,20,71,14,23,1,59,15,42,14,269,213,33,48,453,1.338,116-2019-2020,9-2019-2020,2019-2020
Garcia Toribio Pedro Luis,14,55,10,16,0,41,21,63,6,203,193,36,41,385,1.2364,137-2019-2020,11-2019-2020,2019-2020
Gimenez Hernandez Jose Maria,20,75,16,5,0,24,15,36,13,269,192,57,39,452,1.1467,11-2019-2020,1-2019-2020,2019-2020
Vanole Thiago,16,64,27,14,0,56,30,74,10,236,182,35,51,386,1.0156,32-2019-2020,3-2019-2020,2019-2020
Lersch Vinicius,20,76,14,19,0,40,17,43,13,289,183,32,43,435,1.0132,76-2019-2020,6-2019-2020,2019-2020
Artiles Sosa Ruiman,7,24,4,0,0,4,1,4,3,76,39,7,9,88,1.0,125-2019-2020,10-2019-2020,2019-2020
Rojas Guevara Andy,20,72,21,12,1,44,20,46,11,260,199,44,68,496,0.9583,165-2019-2020,12-2019-2020,2019-2020
Almansa Jorge,19,64,15,20,0,49,16,33,13,242,110,10,18,242,0.9375,87-2019-2020,7-2019-2020,2019-2020
Villalba Zamorano Jose,20,72,16,23,1,56,13,31,13,212,153,25,35,342,0.9306,65-2019-2020,5-2019-2020,2019-2020
Rodriguez Arabisen,9,29,5,2,0,9,1,4,2,70,40,7,7,87,0.8966,133-2019-2020,10-2019-2020,2019-2020
Ramon Ferragut Jordi,19,50,15,7,0,22,12,27,12,132,77,13,13,169,0.88,17-2019-2020,2-2019-2020,2019-2020
Moses Edwin Julian,12,43,10,15,2,39,18,40,5,152,105,23,17,227,0.8372,113-2019-2020,9-2019-2020,2019-2020
Prades Carnicer Oscar,19,63,13,18,0,47,10,13,9,172,111,31,22,237,0.7937,62-2019-2020,5-2019-2020,2019-2020
Espelt Nacho,20,76,20,24,1,53,15,46,16,267,158,31,32,458,0.7763,81-2019-2020,6-2019-2020,2019-2020
Iribarne Fernandez Francisco Javier,14,36,5,8,1,19,5,20,8,115,61,9,9,119,0.6667,92-2019-2020,7-2019-2020,2019-2020
Salvador Esteban Manuel,20,71,13,31,0,63,6,34,9,215,180,45,44,396,0.6338,59-2019-2020,5-2019-2020,2019-2020
Palharini Marlon,14,48,5,7,3,21,11,24,9,179,88,20,23,244,0.5625,55-2019-2020,4-2019-2020,2019-2020
Miralles Nyrelius Pedro,20,76,10,24,0,46,12,42,13,265,167,41,54,455,0.3684,149-2019-2020,11-2019-2020,2019-2020
Fernandez Rodriguez Francisco,19,61,13,8,1,30,8,51,6,149,124,30,38,301,0.2787,54-2019-2020,4-2019-2020,2019-2020
Lopez Lopez Cesar,20,61,10,7,1,28,8,33,6,169,73,14,22,187,0.2295,155-2019-2020,12-2019-2020,2019-2020
Blanco Couce Marcos,14,43,6,6,2,17,7,28,3,112,58,19,10,152,0.1395,160-2019-2020,12-2019-2020,2019-2020
Costa Viana Joao Victor,17,58,5,24,1,41,9,24,11,178,74,17,28,196,-0.1034,31-2019-2020,3-2019-2020,2019-2020
