Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador,id_equipo,temporada
Kukartsev Pavel,20,73,37,38,30,337,42,45,2,114,285,34,34,562,2.8904,93-2019-2020,7-2019-2020,2019-2020
Gavenda Filip,20,70,19,53,19,244,37,11,2,57,286,41,34,515,2.8714,26-2019-2020,2-2019-2020,2019-2020
Linares Jose Luis,20,76,15,35,12,283,24,23,1,67,336,60,56,795,2.6316,73-2019-2020,6-2019-2020,2019-2020
Oliveira Wallaf,16,51,18,32,16,185,14,20,2,49,189,34,37,393,1.8824,120-2019-2020,9-2019-2020,2019-2020
Osorio Recorda Gerard,20,71,14,61,14,258,28,11,0,53,238,31,52,514,1.7606,106-2019-2020,8-2019-2020,2019-2020
Rodriguez Dosal Angel,20,78,43,78,11,273,31,14,0,62,322,92,75,729,1.7564,42-2019-2020,3-2019-2020,2019-2020
Martin Herrero Luis,16,63,6,43,14,211,21,3,2,30,199,61,36,419,1.2857,12-2019-2020,1-2019-2020,2019-2020
Gryuk Mykhailovych Oleksandr,20,74,22,63,10,200,20,28,1,66,274,75,58,550,1.2297,158-2019-2020,12-2019-2020,2019-2020
Lorenzo Martinez Pablo,18,70,18,44,12,218,25,34,1,85,260,55,96,620,1.0429,143-2019-2020,11-2019-2020,2019-2020
Bastos Silveira Alison,20,69,7,51,13,187,16,20,1,53,258,68,73,582,0.9855,56-2019-2020,4-2019-2020,2019-2020
Colito Lopes Augusto Renato,18,66,31,60,13,236,18,23,0,64,202,53,60,467,0.8333,66-2019-2020,5-2019-2020,2019-2020
Borges Arthur,13,37,9,16,6,85,5,14,1,28,66,9,20,146,0.5405,110-2019-2020,9-2019-2020,2019-2020
Biliato Luca,20,64,15,54,9,252,15,8,0,28,140,36,48,346,0.375,135-2019-2020,10-2019-2020,2019-2020
