Nombre,Partidos_jugados,Sets_jugados,Recepciones,Recepciones_exitosas,Recepciones_fallidas,Recepciones_otro_jugador,Puntos_perdidos_recep,Puntos_ganados_recep,Total_puntos_recep,Recep_Ranking,id_jugador,id_equipo,temporada
Fernandez Rojas Alejandro,33,114,285,26,22,30,78,121,562,0.4075,60-2020-2021,5-2020-2021,2020-2021
Dovale Fidalgo Mario,28,110,320,34,20,31,133,114,652,0.3911,8-2020-2021,1-2020-2021,2020-2021
Ruiz Daniel,28,106,263,27,21,20,62,172,565,0.3823,163-2020-2021,12-2020-2021,2020-2021
Barranco Francisco,6,12,20,3,3,0,12,10,48,0.3542,123-2020-2021,9-2020-2021,2020-2021
Larranaga Ledo Unai,25,94,237,32,46,25,58,129,527,0.3416,190-2020-2021,14-2020-2021,2020-2021
Fernandez Martinez Francisco Jose,25,95,179,24,31,11,80,111,436,0.3303,137-2020-2021,10-2020-2021,2020-2021
Ferrera Garcia Mario,33,128,270,35,58,40,75,153,631,0.309,155-2020-2021,11-2020-2021,2020-2021
Gamiz Padilla Aaron,31,110,204,26,15,24,84,165,518,0.2973,43-2020-2021,3-2020-2021,2020-2021
Osado Carrasco Jose,30,116,257,33,53,41,90,174,648,0.2824,81-2020-2021,6-2020-2021,2020-2021
Alves Castro Adrian,26,100,289,61,16,44,113,132,655,0.2809,104-2020-2021,8-2020-2021,2020-2021
Piris Guiscafre Antoni,29,108,327,54,34,51,162,177,805,0.2758,51-2020-2021,4-2020-2021,2020-2021
San Martin Rodriguez Alejandro,29,116,287,46,51,34,126,214,758,0.2731,96-2020-2021,7-2020-2021,2020-2021
Mateu Alvaro,25,91,180,29,30,22,117,103,481,0.2682,128-2020-2021,9-2020-2021,2020-2021
Galindo Sanchez Angel,5,19,36,9,4,4,17,27,97,0.2371,24-2020-2021,2-2020-2021,2020-2021
castano Barbera Antonio Angel,20,67,164,37,5,23,106,125,460,0.2261,169-2020-2021,13-2020-2021,2020-2021
Sanchez Cano Victor,4,9,20,3,4,4,7,20,58,0.2241,139-2020-2021,10-2020-2021,2020-2021
Masia Porres Arnau,23,63,103,23,30,18,103,85,362,0.1713,30-2020-2021,2-2020-2021,2020-2021
Lacalle Herrera Oriol,12,35,85,22,31,19,61,48,266,0.1654,28-2020-2021,2-2020-2021,2020-2021
Roca Penalva Jaime,5,14,13,1,1,5,17,20,57,0.1228,172-2020-2021,13-2020-2021,2020-2021
Barcena Mattera Maximo,5,7,4,5,6,1,1,6,23,-0.087,186-2020-2021,14-2020-2021,2020-2021
Garcia Perez Ignacio,15,38,33,26,11,21,43,26,160,-0.0875,182-2020-2021,13-2020-2021,2020-2021
