Equipo,Jugados,Sets_Jugados,Total_Puntos,Break_Puntos,Puntos_Ganados,Puntos_Perdidos,Total_Saque,Puntos_Saque,Error_Saque,Puntos_por_set_Saque,Efic_Saque,Total_Recepcion,Error_Recepcion,Negativo_Recepcion,Positivo_Recepcion,Excelente_Recepcion,Efic_Recepcion,Total_Ataque,Error_Ataque,Ataque_Bloqueado,Positivo_Ataque,Excelente_Ataque,Efic_Ataque,Toque_Red_Bloqueo,Puntos_de_Bloqueo,Puntos_Set_Bloqueo,id_equipo,temporada
Unicaja Almeria,34,136,2154,797,1357,989,2992,202,495,1.5,-10.0,2376,156,556,797,34.0,27.0,3375,237,277,1618,48.0,33.0,420,334,2.5,11-2020-2021,2020-2021
Guaguas,33,114,1985,784,1201,1198,2725,132,326,1.2,-7.0,1880,96,415,808,43.0,38.0,2930,188,177,1564,53.0,41.0,275,289,2.5,5-2020-2021,2020-2021
CV Teruel,31,114,1905,743,1162,946,2620,144,416,1.3,-10.0,1949,123,490,618,32.0,25.0,2872,227,193,1451,51.0,36.0,149,310,2.7,3-2020-2021,2020-2021
CV Melilla,30,116,1869,716,1153,893,2575,147,372,1.3,-9.0,2097,130,482,716,34.0,28.0,3030,225,249,1446,48.0,32.0,164,276,2.4,6-2020-2021,2020-2021
Rio Duero Soria,29,116,1868,675,1193,751,2583,160,437,1.4,-11.0,2156,140,515,722,33.0,27.0,3036,269,271,1437,47.0,30.0,322,271,2.3,7-2020-2021,2020-2021
Voley Palma,28,107,1733,633,1100,768,2373,136,380,1.3,-10.0,1934,110,383,751,39.0,33.0,2844,248,227,1367,48.0,31.0,154,230,2.1,12-2020-2021,2020-2021
Arenal Emeve,28,110,1676,537,1139,579,2334,115,356,1.0,-10.0,2131,132,552,999,47.0,41.0,3005,321,288,1388,46.0,26.0,164,173,1.6,1-2020-2021,2020-2021
Manacor,29,108,1669,642,1027,579,2360,216,441,2.0,-10.0,1990,130,495,826,42.0,35.0,2628,238,281,1230,47.0,27.0,113,223,2.1,4-2020-2021,2020-2021
Rotogal Boiro,26,100,1571,546,1025,595,2202,148,396,1.5,-11.0,1919,157,507,751,39.0,31.0,2469,241,182,1213,49.0,32.0,171,210,2.1,8-2020-2021,2020-2021
Ibiza Voley,26,99,1523,544,979,601,2125,116,353,1.2,-11.0,1881,119,482,668,36.0,29.0,2587,216,234,1145,44.0,27.0,335,262,2.6,10-2020-2021,2020-2021
Grau,26,97,1431,489,942,547,2074,91,245,0.9,-7.0,1864,121,519,702,38.0,31.0,2756,263,255,1159,42.0,23.0,319,181,1.9,9-2020-2021,2020-2021
Voley Textil Santanderina,26,98,1385,458,927,541,2073,66,274,0.7,-10.0,1848,158,407,634,34.0,26.0,2465,206,206,1062,43.0,26.0,236,257,2.6,14-2020-2021,2020-2021
Barca Voleibol,26,96,1377,468,909,379,1952,128,341,1.3,-11.0,1880,155,548,600,32.0,24.0,2491,267,235,1063,43.0,23.0,210,186,1.9,2-2020-2021,2020-2021
Voleibol Almoradi,26,89,1196,377,819,289,1805,93,247,1.0,-9.0,1801,166,571,559,31.0,22.0,2255,229,265,965,43.0,21.0,233,138,1.6,13-2020-2021,2020-2021
