Dorsal,Nombre,Posición,Altura,Año_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_equipo,id_jugador,temporada
22,Pereyra Hernán Federico,Opuesto,200,1988,345,330,6,78,2023-2024
24,Giustiniano Mariano Ariel,Receptor,190,1986,355,345,6,79,2023-2024
28,Riganti Juan Martín,Colocador/a,188,1988,330,320,6,70,2023-2024
87,Martina Federico,Opuesto,202,1992,348,328,6,81,2023-2024
1,Valquintans Kulakauskas Joao G.,Receptor,196,1985,0,0,6,82,2023-2024
2,Camacho Nahuel,Middle-blocker,192,1996,0,0,6,83,2023-2024
3,Almeida Ortega Eric Javier,Receptor,186,2001,0,0,6,84,2023-2024
4,Villar Rodríguez Mario,Colocador/a,187,2002,0,0,6,85,2023-2024
5,Dos Santos Cezar Moises,Middle-blocker,204,1983,0,0,6,86,2023-2024
6,Castañeda Yanguas Daniel,Colocador/a,190,1975,0,0,6,87,2023-2024
7,Loeches Buitrago Guillermo,Colocador/a,180,1996,0,0,6,88,2023-2024
8,Cardenes Arocha Jonathan,Receptor,185,1985,0,0,7,89,2023-2024
10,Gallardo Hernández Rodrigo,Líbero,182,1999,0,0,7,90,2023-2024
11,Ponce Fiol Jorge,Middle-blocker,193,2000,0,0,7,91,2023-2024
14,Dahl Ulrik Bo,Opuesto,201,2000,0,0,7,92,2023-2024
15,León Sánchez Antonio,Opuesto,187,2005,0,0,7,93,2023-2024
20,Rodríguez Cáceres Nicolás Omar,Middle-blocker,191,2004,0,0,7,94,2023-2024
2,Salvador Esteban Manuel,Receptor,0,1986,0,0,8,95,2023-2024
4,Zazo Miloserdova Tomás,Opuesto,0,2004,0,0,8,96,2023-2024
5,Lorente López Lucas,Colocador/a,0,2001,0,0,8,97,2023-2024
6,Flores Fabian Emanuel,Middle-blocker,0,1991,0,0,8,98,2023-2024
7,Olalla Gómez Adrián,Receptor,0,2001,0,0,8,99,2023-2024
8,Belda de Vial Luke,Receptor,0,2003,0,0,8,100,2023-2024
9,Villalba Zamorano José,Receptor,0,2000,0,0,8,101,2023-2024
10,San Martín Rodríguez Alejandro,Líbero,0,1994,0,0,8,102,2023-2024
11,Sanchis Ignasi,Colocador/a,0,2002,0,0,8,103,2023-2024
13,Jiménez Abeytua Rodrigo,Líbero,0,2005,0,0,8,104,2023-2024
14,Aulisi Santiago Karim,Receptor,0,1996,0,0,8,105,2023-2024
16,Santos Cunha Bruno,Opuesto,0,1997,0,0,8,106,2023-2024
20,Domenech Tous Joan,Middle-blocker,0,2001,0,0,8,107,2023-2024
21,Tenorio Capeloci Davi,Middle-blocker,0,2005,0,0,8,108,2023-2024
