fecha,hora,equipo_local,resultado,equipo_visitante,id_equipo_local,id_equipo_visitante,id_jornada,id
2023-12-09,19:30:00,Pamesa Teruel Voleibol ,0-0,UPV Leleman Conqueridor,9,11,11,66
2023-12-16,18:30:00,UPV Leleman Conqueridor ,0-0,Unicaja Costa de Almería,11,10,12,67
2023-12-16,18:30:00,Pamesa Teruel Voleibol ,0-0,Club Vóley Palma,9,3,12,68
2023-12-17,17:00:00,CV Melilla ,0-0,Volei Villena Petrer,6,12,12,69
2023-12-16,18:30:00,CV Guaguas ,0-0,CV San Roque,5,7,12,70
2023-12-16,17:00:00,Arenal Emevé ,0-0,Cisneros Alter Tenerife,1,2,12,71
2023-12-16,18:00:00,Conectabalear CV Manacor ,0-0,Grupo Herce Soria,4,8,12,72
2024-01-06,18:30:00,Unicaja Costa de Almería ,0-0,Conectabalear CV Manacor,10,4,13,73
2024-01-06,19:30:00,Grupo Herce Soria ,0-0,Arenal Emevé,8,1,13,74
2024-01-07,12:00:00,Cisneros Alter Tenerife ,0-0,CV Guaguas,2,5,13,75
2024-01-07,12:00:00,CV San Roque ,0-0,CV Melilla,7,6,13,76
2024-01-06,19:00:00,Volei Villena Petrer ,0-0,Pamesa Teruel Voleibol,12,9,13,77
2024-01-06,19:00:00,Club Vóley Palma ,0-0,UPV Leleman Conqueridor,3,11,13,78
2024-01-13,19:00:00,Club Vóley Palma ,0-0,Unicaja Costa de Almería,3,10,14,79
2024-01-13,18:30:00,UPV Leleman Conqueridor ,0-0,Volei Villena Petrer,11,12,14,80
2024-01-13,18:30:00,Pamesa Teruel Voleibol ,0-0,CV San Roque,9,7,14,81
2024-01-14,17:00:00,CV Melilla ,0-0,Cisneros Alter Tenerife,6,2,14,82
2024-01-13,18:30:00,CV Guaguas ,0-0,Grupo Herce Soria,5,8,14,83
2024-01-13,19:45:00,Arenal Emevé ,0-0,Conectabalear CV Manacor,1,4,14,84
2024-01-20,18:30:00,Unicaja Costa de Almería ,0-0,Arenal Emevé,10,1,15,85
2024-01-20,18:00:00,Conectabalear CV Manacor ,0-0,CV Guaguas,4,5,15,86
2024-01-20,19:30:00,Grupo Herce Soria ,0-0,CV Melilla,8,6,15,87
2024-01-20,19:00:00,Cisneros Alter Tenerife ,0-0,Pamesa Teruel Voleibol,2,9,15,88
2024-01-21,12:00:00,CV San Roque ,0-0,UPV Leleman Conqueridor,7,11,15,89
2024-01-20,19:00:00,Volei Villena Petrer ,0-0,Club Vóley Palma,12,3,15,90
2024-01-27,19:00:00,Volei Villena Petrer ,0-0,Unicaja Costa de Almería,12,10,16,91
2024-01-27,19:00:00,Club Vóley Palma ,0-0,CV San Roque,3,7,16,92
2024-01-27,18:30:00,UPV Leleman Conqueridor ,0-0,Cisneros Alter Tenerife,11,2,16,93
2024-01-27,18:30:00,Pamesa Teruel Voleibol ,0-0,Grupo Herce Soria,9,8,16,94
