Dorsal,Nombre,Posición,Altura,Año_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_jugador,temporada,id_equipo
5,Salerno Aguirre Hector Leonardo Javier,Receptor,198.0,1991,0.0,0.0,54-2022-2023,2022-2023,4-2022-2023
6,Piris Guiscafré Antoni,Líbero,180.0,2001,0.0,0.0,55-2022-2023,2022-2023,4-2022-2023
7,Filter Albrecht Caetano,Receptor,190.0,1995,0.0,0.0,56-2022-2023,2022-2023,4-2022-2023
10,Ribas Brockert Alejandro,Middle-blocker,197.0,2004,0.0,0.0,57-2022-2023,2022-2023,4-2022-2023
14,Allen Serrano Luis Vidal,Middle-blocker,200.0,2001,0.0,0.0,58-2022-2023,2022-2023,4-2022-2023
16,Monteagudo del Pueblo Joaquín,Middle-blocker,198.0,1996,0.0,0.0,59-2022-2023,2022-2023,4-2022-2023
18,Gibanel Galmés Sebastiá,Líbero,180.0,2000,0.0,0.0,60-2022-2023,2022-2023,4-2022-2023
21,Martín Pérez César,Colocador/a,185.0,1995,0.0,0.0,61-2022-2023,2022-2023,4-2022-2023
1,Fernández Rojas Alejandro,Líbero,183.0,1987,320.0,300.0,62-2022-2023,2022-2023,5-2022-2023
3,Escobar Silvaa Yadrián,Opuesto,201.0,1988,330.0,310.0,63-2022-2023,2022-2023,5-2022-2023
4,Ruiz Daniel,Líbero,191.0,1995,300.0,300.0,64-2022-2023,2022-2023,5-2022-2023
5,Olalla Gómez Adrián,Opuesto,197.0,2001,320.0,310.0,65-2022-2023,2022-2023,5-2022-2023
7,de Amo Miguel Ángel,Colocador/a,185.0,1985,300.0,300.0,66-2022-2023,2022-2023,5-2022-2023
8,Bertassoni Paulo Renan,Colocador/a,186.0,1985,340.0,325.0,67-2022-2023,2022-2023,5-2022-2023
9,Rattray Brandon,Opuesto,195.0,1998,330.0,320.0,68-2022-2023,2022-2023,5-2022-2023
10,Almansa Jorge,Receptor,195.0,1991,346.0,330.0,69-2022-2023,2022-2023,5-2022-2023
11,Fernández López Fernando,Middle-blocker,200.0,1997,338.0,325.0,70-2022-2023,2022-2023,5-2022-2023
13,Zonca Paolo,Receptor,197.0,1997,345.0,335.0,71-2022-2023,2022-2023,5-2022-2023
14,Ruiz Mira Borja,Middle-blocker,203.0,1992,356.0,340.0,72-2022-2023,2022-2023,5-2022-2023
15,Knigge Matthew,Middle-blocker,203.0,1996,358.0,340.0,73-2022-2023,2022-2023,5-2022-2023
17,Susickis Vladislad,Colocador/a,0.0,1997,0.0,0.0,74-2022-2023,2022-2023,5-2022-2023
18,Ramos Martín Emiliano,Middle-blocker,197.0,1991,330.0,320.0,75-2022-2023,2022-2023,5-2022-2023
22,Conde Barrios Lucas,Receptor,195.0,2004,330.0,320.0,76-2022-2023,2022-2023,5-2022-2023
1,Funes Facundo Jesús,Receptor,183.0,1994,334.0,307.0,77-2022-2023,2022-2023,6-2022-2023
3,Nieves Suárez Carlos,Opuesto,203.0,2004,342.0,312.0,78-2022-2023,2022-2023,6-2022-2023
4,Monfort Minaya Javier,Receptor,196.0,1990,346.0,320.0,79-2022-2023,2022-2023,6-2022-2023
7,Mengod Bautista Fernando,Receptor,184.0,1993,326.0,293.0,80-2022-2023,2022-2023,6-2022-2023
9,Nogueira Amorim Víctor Lucas,Opuesto,201.0,1997,341.0,318.0,81-2022-2023,2022-2023,6-2022-2023
10,Huerta Fabregat José Ignacio,Colocador/a,179.0,1998,322.0,292.0,82-2022-2023,2022-2023,6-2022-2023
12,Monfort Minaya Vicente,Colocador/a,185.0,1988,328.0,305.0,83-2022-2023,2022-2023,6-2022-2023
14,Pérez Lledó Pablo,Opuesto,0.0,2004,0.0,0.0,84-2022-2023,2022-2023,6-2022-2023
15,Soriano Huesca Lucas,Middle-blocker,187.0,2003,323.0,306.0,85-2022-2023,2022-2023,6-2022-2023
17,Nagiev Vladis,Middle-blocker,201.0,1992,3335.0,313.0,86-2022-2023,2022-2023,6-2022-2023
18,Iborra Ballester Héctor,Líbero,179.0,2003,306.0,280.0,87-2022-2023,2022-2023,6-2022-2023
19,de Juan David,Receptor,192.0,1998,334.0,317.0,88-2022-2023,2022-2023,6-2022-2023
20,Postemsky Ivan,Middle-blocker,203.0,1992,334.0,315.0,89-2022-2023,2022-2023,6-2022-2023
21,Mengod Bautista Javier,Líbero,184.0,1996,315.0,285.0,90-2022-2023,2022-2023,6-2022-2023
22,Scarpin Maximiliano,Middle-blocker,202.0,1990,333.0,312.0,91-2022-2023,2022-2023,6-2022-2023
1,Radunovic Balsa,Receptor,204.0,1992,350.0,330.0,92-2022-2023,2022-2023,7-2022-2023
3,Ruda Martínez Florentino,Receptor,195.0,2003,334.0,340.0,93-2022-2023,2022-2023,7-2022-2023
6,El Mesaoudi Sufian,Receptor,185.0,2003,331.0,320.0,94-2022-2023,2022-2023,7-2022-2023
7,Tahiri El Aissati Mikael,Opuesto,179.0,1997,337.0,317.0,95-2022-2023,2022-2023,7-2022-2023
9,López Alacio David,Middle-blocker,198.0,2000,343.0,345.0,96-2022-2023,2022-2023,7-2022-2023
10,Luengas Ignacio Agustín,Receptor,204.0,1996,355.0,345.0,97-2022-2023,2022-2023,7-2022-2023
11,Mimoun Chakrani Azddin,Middle-blocker,194.0,2004,360.0,338.0,98-2022-2023,2022-2023,7-2022-2023
12,Diedhiou Pascal Jean,Middle-blocker,210.0,1993,360.0,340.0,99-2022-2023,2022-2023,7-2022-2023
17,Añes Peralta Frander,Colocador/a,193.0,1984,325.0,328.0,100-2022-2023,2022-2023,7-2022-2023
24,Giustiniano Mariano Ariel,Receptor,190.0,1986,355.0,345.0,101-2022-2023,2022-2023,7-2022-2023
28,Riganti Juan Martín,Colocador/a,188.0,1988,330.0,320.0,102-2022-2023,2022-2023,7-2022-2023
87,Martina Federico,Opuesto,202.0,1992,348.0,328.0,103-2022-2023,2022-2023,7-2022-2023
88,Larrañaga Ledo Unai,Líbero,180.0,2000,330.0,315.0,104-2022-2023,2022-2023,7-2022-2023
1,Lorente Camacho Rubén,Colocador/a,187.0,1998,280.0,240.0,105-2022-2023,2022-2023,8-2022-2023
3,Edward Batalla Dexter,Colocador/a,200.0,2000,350.0,333.0,106-2022-2023,2022-2023,8-2022-2023
5,Méndez Jiménez Víctor,Middle-blocker,198.0,1997,345.0,335.0,107-2022-2023,2022-2023,8-2022-2023
7,Coutinho Muryllo,Receptor,189.0,1995,330.0,320.0,108-2022-2023,2022-2023,8-2022-2023
8,Ferrández Moles Emilio,Receptor,195.0,2001,346.0,325.0,109-2022-2023,2022-2023,8-2022-2023
9,Téllez Rodríguez Axel,Middle-blocker,203.0,1999,355.0,340.0,110-2022-2023,2022-2023,8-2022-2023
10,López García Rubén,Middle-blocker,200.0,1999,350.0,330.0,111-2022-2023,2022-2023,8-2022-2023
13,De Melo Rodrigo Roberto,Opuesto,193.0,1996,345.0,325.0,112-2022-2023,2022-2023,8-2022-2023
18,Gámiz Padilla Aharón,Líbero,180.0,1988,285.0,250.0,113-2022-2023,2022-2023,8-2022-2023
19,Navarro Allueva Jorge,Opuesto,186.0,2003,280.0,250.0,114-2022-2023,2022-2023,8-2022-2023
20,Vildosola Mariano,Receptor,192.0,1991,330.0,320.0,115-2022-2023,2022-2023,8-2022-2023
33,Neviadomskyi Stanislav,Receptor,202.0,1994,340.0,325.0,116-2022-2023,2022-2023,8-2022-2023
1,Pérez Jaime,Colocador/a,196.0,1985,0.0,0.0,117-2022-2023,2022-2023,9-2022-2023
2,Salvador Esteban Manuel,Receptor,192.0,1986,0.0,0.0,118-2022-2023,2022-2023,9-2022-2023
4,Pyvovarenko Daniil,Opuesto,205.0,2004,0.0,0.0,119-2022-2023,2022-2023,9-2022-2023
5,Lorente López Lucas,Colocador/a,194.0,2001,0.0,0.0,120-2022-2023,2022-2023,9-2022-2023
8,Belda de Vial Luke,Receptor,195.0,2003,0.0,0.0,121-2022-2023,2022-2023,9-2022-2023
9,Villalba Zamorano José,Receptor,195.0,2000,0.0,0.0,122-2022-2023,2022-2023,9-2022-2023
10,San Martín Rodríguez Alejandro,Líbero,180.0,1994,0.0,0.0,123-2022-2023,2022-2023,9-2022-2023
11,Moreno Mosquera Juan Pablo,Opuesto,196.0,1997,0.0,0.0,124-2022-2023,2022-2023,9-2022-2023
13,Jiménez Abeytua Rodrigo,Líbero,180.0,2005,0.0,0.0,125-2022-2023,2022-2023,9-2022-2023
14,Vargas Pelegrin,Receptor,193.0,1998,0.0,0.0,126-2022-2023,2022-2023,9-2022-2023
18,Ruiz Rubio Alberto,Colocador/a,181.0,1994,0.0,0.0,127-2022-2023,2022-2023,9-2022-2023
19,Dos Santos Junior Mario Augusto,Middle-blocker,200.0,1988,0.0,0.0,128-2022-2023,2022-2023,9-2022-2023
20,Domenech Tous Joan,Middle-blocker,204.0,2001,0.0,0.0,129-2022-2023,2022-2023,9-2022-2023
21,Tenorio Capeloci Davi,Middle-blocker,209.0,2005,0.0,0.0,130-2022-2023,2022-2023,9-2022-2023
1,Alves Castro Adrián,Líbero,168.0,0,0.0,0.0,131-2022-2023,2022-2023,10-2022-2023
2,Tubio Ageitos Alberto,Líbero,170.0,2003,0.0,0.0,132-2022-2023,2022-2023,10-2022-2023
3,Casais Blanco Martín,Receptor,194.0,2005,0.0,0.0,133-2022-2023,2022-2023,10-2022-2023
4,Martínez Blanco Ismael,Colocador/a,175.0,0,0.0,0.0,134-2022-2023,2022-2023,10-2022-2023
5,Arjones Ferreiros Jaime,Colocador/a,188.0,2003,0.0,0.0,135-2022-2023,2022-2023,10-2022-2023
6,Mendoza Fhilo Kleist Praia,Receptor,193.0,1989,0.0,0.0,136-2022-2023,2022-2023,10-2022-2023
7,Davila Torrado Alan,Receptor,180.0,2003,0.0,0.0,137-2022-2023,2022-2023,10-2022-2023
8,García Ordóñez Martín,Colocador/a,170.0,2006,0.0,0.0,138-2022-2023,2022-2023,10-2022-2023
9,Nieto Gontad Pablo,Receptor,186.0,2000,0.0,0.0,139-2022-2023,2022-2023,10-2022-2023
10,Quelle Rodríguez Juan,Opuesto,185.0,1995,0.0,0.0,140-2022-2023,2022-2023,10-2022-2023
14,Souto Espasandin Iván,Colocador/a,188.0,0,0.0,0.0,141-2022-2023,2022-2023,10-2022-2023
15,Vidal Ferreiros Aarón,Receptor,182.0,2007,0.0,0.0,142-2022-2023,2022-2023,10-2022-2023
16,Iglesias Caamaño Mario,Middle-blocker,193.0,0,0.0,0.0,143-2022-2023,2022-2023,10-2022-2023
21,Del Carmen Barbara Gabriel,Receptor,186.0,1994,0.0,0.0,144-2022-2023,2022-2023,10-2022-2023
22,Elgueta Corneo Geronimo,Opuesto,186.0,1997,0.0,0.0,145-2022-2023,2022-2023,10-2022-2023
25,Barro Moya Héctor,Middle-blocker,198.0,2005,0.0,0.0,146-2022-2023,2022-2023,10-2022-2023
