Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador,id_equipo,temporada
Hernandez Cardonell Yosvany,17,48,21,10,0,40,24,60,8,150,186,24,29,347,2.25,49-2021-2022,4-2021-2022,2022-2023
Cuminetti Luca,21,71,15,7,0,24,10,26,11,240,225,45,30,500,2.0,159-2021-2022,11-2021-2022,2022-2023
Benavidez Felipe,22,87,12,10,0,29,39,77,24,340,315,65,53,626,1.8506,135-2021-2022,10-2021-2022,2022-2023
Ereu Thomas,22,80,17,8,2,33,14,34,13,267,216,36,26,455,1.7625,26-2021-2022,2-2021-2022,2022-2023
Giustiniano Mariano Ariel,27,100,29,16,1,58,13,38,19,313,235,28,27,443,1.67,110-2021-2022,8-2021-2022,2022-2023
Villalba Zamorano Jose,23,87,28,26,1,72,17,43,22,358,235,28,37,475,1.6667,119-2021-2022,9-2021-2022,2022-2023
Petty Gregory C.,20,82,23,13,2,43,32,65,25,316,229,44,40,488,1.4634,24-2021-2022,2-2021-2022,2022-2023
Monfort Minaya Javier,29,101,30,28,1,82,48,89,26,427,267,54,44,556,1.2772,108-2021-2022,8-2021-2022,2022-2023
Filter Albrecht Caetano,22,81,27,7,0,42,24,93,14,262,231,42,44,491,1.1852,32-2021-2022,3-2021-2022,2022-2023
Jimenez Scull Javier Ernesto,23,80,29,45,3,125,20,38,16,305,182,27,25,399,1.1625,160-2021-2022,12-2021-2022,2022-2023
Vanole Nogueira Silva Thiago,23,86,16,15,0,37,43,99,29,377,241,38,49,455,1.1512,27-2021-2022,3-2021-2022,2022-2023
Cairus Renzo,26,99,25,16,1,64,22,53,8,378,253,62,56,618,1.1313,62-2021-2022,5-2021-2022,2022-2023
Gonzalez Limon Juan Manuel,28,104,29,32,3,86,28,87,23,420,252,31,40,520,1.1154,163-2021-2022,12-2021-2022,2022-2023
Bouza Ferreiro Victor,19,74,12,7,0,19,12,45,6,240,225,50,66,552,1.0946,3-2021-2022,1-2021-2022,2022-2023
Vildosola Mariano,23,87,9,11,0,25,7,30,14,242,157,17,22,319,1.069,25-2021-2022,2-2021-2022,2022-2023
Funes Facundo Jesus,20,73,15,12,0,32,12,34,11,216,144,25,22,288,1.0685,85-2021-2022,7-2021-2022,2022-2023
Olalla Gomez Adrian,21,66,11,20,2,43,14,39,9,201,177,34,40,368,1.0152,118-2021-2022,9-2021-2022,2022-2023
Gimenez Hernandez Jose Maria,24,90,22,8,0,43,16,40,14,314,185,38,47,464,1.0,59-2021-2022,5-2021-2022,2022-2023
Hage Guillerme,26,91,31,28,2,89,22,55,20,304,183,24,41,415,0.9451,41-2021-2022,4-2021-2022,2022-2023
Del Carmen Barbara Gabriel,23,92,12,19,0,38,26,78,21,339,250,59,47,506,0.9239,144-2021-2022,10-2021-2022,2022-2023
Almansa Jorge,26,92,13,18,1,49,32,32,23,381,152,22,40,338,0.913,47-2021-2022,4-2021-2022,2022-2023
Rodriguez Arabisen,17,42,4,2,0,10,2,12,3,123,74,16,17,199,0.7857,156-2021-2022,11-2021-2022,2022-2023
de Juan David,20,57,9,14,0,25,12,19,2,121,70,20,15,185,0.4035,97-2021-2022,7-2021-2022,2022-2023
Hurtado Mina Ivan Andres,15,45,9,6,0,19,13,37,7,134,103,35,33,300,0.3111,155-2021-2022,11-2021-2022,2022-2023
Fernandez Rodriguez Francisco,19,66,3,14,0,20,8,52,6,187,104,22,32,259,-0.0758,71-2021-2022,6-2021-2022,2022-2023
Biliato Luca,7,20,1,2,0,4,5,18,2,66,39,13,14,86,-0.1,13-2021-2022,1-2021-2022,2022-2023
Blanco Couce Marcos,17,45,6,6,0,12,7,32,3,115,54,27,11,159,-0.2,73-2021-2022,6-2021-2022,2022-2023
Mesquida Pomar Francesc,4,9,1,3,0,6,0,5,1,18,10,2,3,30,-0.2222,38-2021-2022,3-2021-2022,2022-2023
