Nombre,Partidos_jugados,Sets_jugados,Recepciones,Recepciones_exitosas,Recepciones_fallidas,Recepciones_otro_jugador,Puntos_perdidos_recep,Puntos_ganados_recep,Total_puntos_recep,Recep_Ranking,id_jugador,id_equipo,temporada
Bernabeu Judez Joaquin Jesus,1,1,3,0,0,0,1,2,6,0.5,96-2021-2022,7-2021-2022,2021-2022
Ruiz Daniel,26,99,245,17,12,14,65,157,510,0.4196,61-2021-2022,5-2021-2022,2021-2022
Delgado Gustavo,8,17,37,1,0,8,10,21,77,0.3636,44-2021-2022,4-2021-2022,2021-2022
Osado Carrasco Jose,19,58,189,27,18,26,46,88,394,0.3452,152-2021-2022,11-2021-2022,2021-2022
Piris Guiscafre Antoni,24,86,225,41,9,18,105,128,526,0.3156,31-2021-2022,3-2021-2022,2021-2022
San Martin Rodriguez Alejandro,22,79,153,22,32,10,62,115,394,0.3071,120-2021-2022,9-2021-2022,2021-2022
Mengod Bautista Javier,20,67,202,38,32,17,103,102,494,0.2976,99-2021-2022,7-2021-2022,2021-2022
Dovale Fidalgo Mario,22,84,197,29,17,28,104,112,487,0.2875,7-2021-2022,1-2021-2022,2021-2022
Pinon Hermida Marcos,21,74,181,27,40,37,28,97,410,0.2854,69-2021-2022,6-2021-2022,2021-2022
Fernandez Rojas Alejandro,25,91,193,26,26,27,107,128,507,0.2761,40-2021-2022,4-2021-2022,2021-2022
Ferrera Garcia Mario,28,105,230,40,19,33,91,196,609,0.2578,106-2021-2022,8-2021-2022,2021-2022
Gamiz Padilla Aaron,24,96,172,30,22,22,65,162,473,0.2537,23-2021-2022,2-2021-2022,2021-2022
Gomez Moreno Manuel,1,3,9,1,0,3,6,1,20,0.25,75-2021-2022,6-2021-2022,2021-2022
Alves Castro Adrian,23,92,191,42,11,36,123,116,519,0.2177,128-2021-2022,10-2021-2022,2021-2022
Giustiniano Mariano Ariel,1,4,8,3,0,0,10,3,24,0.2083,110-2021-2022,8-2021-2022,2021-2022
Fernandez Martinez Francisco Jose,28,106,195,42,50,32,111,184,614,0.1971,164-2021-2022,12-2021-2022,2021-2022
Salvador Esteban Manuel,2,8,10,4,7,0,5,23,49,0.1224,114-2021-2022,9-2021-2022,2021-2022
Sanchez Cano Victor,6,18,34,12,21,8,21,27,123,0.1138,151-2021-2022,11-2021-2022,2021-2022
Vildosola Mariano,1,3,6,2,0,2,4,5,19,0.1053,25-2021-2022,2-2021-2022,2021-2022
Izquierdo Marin Javier,10,23,34,17,5,3,49,30,138,0.1014,90-2021-2022,7-2021-2022,2021-2022
