Equipo,Jugados,Sets_Jugados,Total_Puntos,Break_Puntos,Puntos_Ganados,Puntos_Perdidos,Total_Saque,Puntos_Saque,Error_Saque,Puntos_por_set_Saque,Efic_Saque,Total_Recepcion,Error_Recepcion,Negativo_Recepcion,Positivo_Recepcion,Excelente_Recepcion,Efic_Recepcion,Total_Ataque,Error_Ataque,Ataque_Bloqueado,Positivo_Ataque,Excelente_Ataque,Efic_Ataque,Toque_Red_Bloqueo,Puntos_de_Bloqueo,Puntos_Set_Bloqueo,id_equipo,temporada
CV Melilla,29,111,1838,721,1117,901,2543,144,376,1.3,-9.0,1943,128,481,589,30.0,24.0,2780,213,220,1425,51.0,36.0,185,269,2.4,8-2021-2022,2021-2022
Unicaja Almeria,28,112,1795,762,1033,1017,2465,164,329,1.5,-7.0,1782,118,432,487,27.0,21.0,2634,146,185,1318,50.0,37.0,358,313,2.8,12-2021-2022,2021-2022
Guaguas,28,104,1777,696,1081,898,2425,166,369,1.6,-8.0,1828,92,506,631,35.0,29.0,2629,205,213,1374,52.0,36.0,293,237,2.3,4-2021-2022,2021-2022
CV Teruel,25,99,1610,557,1053,754,2213,117,361,1.2,-11.0,1879,110,440,627,33.0,28.0,2546,196,189,1270,50.0,35.0,119,223,2.3,2-2021-2022,2021-2022
Voley Palma,26,99,1592,562,1030,711,2215,115,307,1.2,-9.0,1873,108,423,684,37.0,31.0,2769,238,228,1296,47.0,30.0,131,181,1.8,5-2021-2022,2021-2022
Rio Duero Soria,23,90,1440,520,920,655,2007,121,329,1.3,-10.0,1594,105,397,495,31.0,24.0,2194,163,188,1110,51.0,35.0,226,209,2.3,9-2021-2022,2021-2022
Manacor,24,89,1434,520,914,527,1981,147,406,1.7,-13.0,1660,122,428,661,40.0,32.0,2174,192,187,1096,50.0,33.0,75,191,2.1,3-2021-2022,2021-2022
Rotogal Boiro,23,95,1407,486,921,560,2009,111,335,1.2,-11.0,1734,124,509,641,37.0,30.0,2231,204,184,1121,50.0,33.0,106,175,1.8,10-2021-2022,2021-2022
Conqueridor Valencia,22,81,1161,435,726,333,1697,122,310,1.5,-11.0,1483,146,428,506,34.0,24.0,1874,189,183,902,48.0,28.0,155,137,1.7,7-2021-2022,2021-2022
Arenal Emeve,22,84,1152,343,809,336,1712,59,260,0.7,-12.0,1614,100,417,661,41.0,35.0,2197,234,222,972,44.0,23.0,79,121,1.4,1-2021-2022,2021-2022
Intasa,22,79,1108,338,770,383,1588,73,259,0.9,-12.0,1556,113,317,579,37.0,30.0,2002,172,181,892,45.0,27.0,119,143,1.8,6-2021-2022,2021-2022
Ibiza Voley,22,75,1053,332,721,296,1542,81,269,1.1,-12.0,1500,115,356,546,36.0,29.0,1983,208,165,826,42.0,23.0,57,146,1.9,11-2021-2022,2021-2022
